Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
158,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:394,[],428,1489738666897,1489738763620
159,join at /home/sshuser/execution_scripts/../DQAssessment.py:398,[158],856,1489738763661,1489738864743
160,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:400,[159],856,1489738864791,1489738916233
161,runJob at PythonRDD.scala:441,[160],1,1489738916237,1489738916305
165,runJob at PythonRDD.scala:441,[164],4,1489738916387,1489738916442
169,json at NativeMethodAccessorImpl.java:-2,[168],1,1489738916622,1489738951567
173,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[172],856,1489738951783,1489738955087
177,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[176],856,1489738955168,1489738958483
181,mean at /home/sshuser/execution_scripts/../DQAssessment.py:415,[180],856,1489738958559,1489738961868
182,runJob at PythonRDD.scala:441,[],1,1489738961912,1489738962002
183,runJob at PythonRDD.scala:441,[],4,1489738962035,1489738962136
184,runJob at PythonRDD.scala:441,[],19,1489738962153,1489738962337
185,json at NativeMethodAccessorImpl.java:-2,[],1,1489738962505,1489738964837
186,count at /home/sshuser/execution_scripts/../DQAssessment.py:982,[],428,1489738965057,1489739059309
187,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1013,[],428,1489739059348,1489739155348
188,runJob at PythonRDD.scala:441,[187],1,1489739155352,1489739155487
190,json at NativeMethodAccessorImpl.java:-2,[189],1,1489739155848,1489739176276
191,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1013,[],428,1489739176493,1489739272494
192,runJob at PythonRDD.scala:441,[191],1,1489739272499,1489739272563
194,runJob at PythonRDD.scala:441,[193],4,1489739272580,1489739272645
196,json at NativeMethodAccessorImpl.java:-2,[195],1,1489739272843,1489739291776
197,json at NativeMethodAccessorImpl.java:-2,[],2,1489739292255,1489739292429
198,collect at /home/sshuser/execution_scripts/../DQAssessment.py:1220,[],25,1489739292577,1489739292697
199,reduceByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1235,[],428,1489739292749,1489739388456
200,combineByKey at /home/sshuser/execution_scripts/../DQAssessment.py:1239,[199],428,1489739388484,1489739390332
